BATCH 0: 施博威(id=862) | 顾易(id=299) | 钱安琪(id=290) | 钱蒙楠(id=305) | 相征(id=264) | 徐佳文(id=575) | 汤佳明(id=577) | 田野(id=300) | 王逸飞(id=968) | 张沁丹(id=274)
BATCH 1: 朱亮(id=847) | 许昌泰(id=1626) | 邓贤凌(id=683) | 于滨嘉(id=429) | 李秋盟(id=216) | 李政绪(id=681) | 李存贤(id=826) | 陈旭(id=284) | 陈科铭(id=852) | 王洁璐(id=288)
BATCH 2: 徐杭(id=223) | 何铭海(id=297) | 钟嘉诚(id=467) | 吴杭律(id=684) | 刘瀚聪(id=963) | 邵立君(id=682) | 遇泓羊(id=675) | 朱亚洲(id=854) | 邵奕磊(id=758) | 姜崃(id=756)
BATCH 3: 丁辰西(id=775) | 赵雨卉(id=280) | 万钰彬(id=895) | 叶嘉雯(id=320) | 吴以瀚(id=751) | 马小乔(id=474) | 洪果(id=579) | 曹牧之(id=841) | 毛二(id=259) | 赵洪博(id=824)
BATCH 4: 牛博为(id=843) | 夏阳(id=478) | 翟松(id=348) | 陈楷(id=1344) | 胡迪(id=267) | 陈玉婷(id=287) | 周波(id=315) | 冯远(id=472) | 杜鑫艳(id=776) | 宋元明(id=686)
BATCH 5: 徐昊(id=269) | 朱微之(id=482) | 姜义哲(id=2446) | 卢翰林(id=2169) | 赵钱龙(id=238) | 陈志(id=846) | 强东玥(id=1159) | 周靖杰(id=864) | 杜钇樵(id=1020) | 吴志军(id=232)
BATCH 6: 徐泽辉(id=25) | 叶宇锋(id=2170) | 纪晓坤(id=498) | 余镇鳌(id=896) | 黄可(id=230) | 左一平(id=903) | 王颢珏(id=576) | 胥子含(id=1172) | 林大钦(id=961) | 李信(id=605)
BATCH 7: 桑可舟(id=175) | 孙一城(id=1777) | 刘子赫(id=1697) | 刘乙萱(id=285) | 杜牧(id=1552) | 李玉言(id=860) | 白倬铭(id=1304) | 刘朱烨(id=993) | 王浩楠(id=1032) | 朱家鹏(id=752)
BATCH 8: 温升宝(id=957) | 赵奕然(id=977) | 周文嘉(id=289) | 祝颂皓(id=345) | 徐步超(id=304) | 廖婧媛(id=677) | 郝李英杰(id=842) | 舒荣波(id=214) | 严小北(id=143) | 高尔金宝音(id=761)
BATCH 9: 王瑞(id=2872) | 刘令飞(id=30) | 钟舜傲(id=471) | 党韫葳(id=1538) | 张书豪(id=1842) | 张泽(id=256) | 郭耀嵘(id=473) | 曾鑫(id=858) | 林梦圆(id=2224) | 王瀚宇(id=270)
BATCH 10: 李磊(id=476) | 刘阳(id=333) | 孙晶俐(id=2223) | 高品(id=1410) | 谭建业(id=2219) | 刘浩冉(id=218) | 脱骁尧(id=857) | 郑艺彬(id=258) | 潘珏辰(id=318) | 周一男(id=2451)
BATCH 11: 张智涵(id=205) | 智博闻(id=680) | 李苏霖(id=477) | 于梦滢(id=1085) | 薛钦元(id=976) | 宁梦恬(id=1504) | 刘官卫(id=298) | 陈旭茂(id=908) | 尹智博(id=960) | 郑涵一(id=1667)
BATCH 12: 王竞琦(id=1171) | 董豫辰(id=959) | 舒杨(id=262) | 蔡淇(id=260) | 郭洧江(id=853) | 于晓璘(id=480) | 吴盛祥(id=3159) | 王敏辉(id=674) | 吴俊鹏(id=268) | 杨皓晨(id=470)
BATCH 13: 张烜尔(id=899) | 叶麒圣(id=1323) | 傅祥安(id=213) | 李坤嘉(id=984) | 张琦铭(id=294) | 杨雨婷(id=2221) | 高杨(id=257) | 张鑫澳(id=981) | 施天玮(id=572) | 张博俊(id=1306)
BATCH 14: 江泽辰(id=430) | 赵伟钢(id=468) | 宋凯文(id=964) | 郭虹旭(id=212) | 滕春鹏(id=1081) | 王珏语涵(id=2020) | 蔡馨怡(id=897) | 李珏(id=956) | 郭亢(id=466) | 沈育奇(id=2168)
BATCH 15: 孙豆尔(id=293) | 陈诗(id=2006) | 杨宇威(id=856) | 王培杰(id=481) | 邓欣锐(id=608) | 朱羿达(id=1780) | 蓝浩(id=3158) | 樊苏颐(id=44) | 施哲明(id=266) | 刘岩(id=1307)
BATCH 16: 唐浩瑜(id=863) | 王桓(id=1082) | 张梁(id=3071) | 张智伟(id=828) | 宋周鑫(id=1370) | 田恬(id=2228) | 霍泽安(id=239) | 胡芳洲(id=26) | 余思冉(id=20) | 王款儿(id=1769)
BATCH 17: 张会芳(id=716) | 褚威(id=2876) | 李卓远(id=603) | 王天择(id=844) | 刘明明(id=1019) | 张琛(id=1305) | 崔恩尔(id=764) | 薛尚文(id=909) | 李泽熙(id=224) | 杜航(id=302)
BATCH 18: 孙乐仟(id=499) | 郑金铠(id=2179) | 吴勃臻(id=42) | 朱涵彬(id=317) | 武冠辰(id=1846) | 王博睿(id=2181) | 年蔓婷(id=357) | 殷赫阳(id=2226) | 郭嘉轩(id=261) | 马灵奇(id=571)
BATCH 19: 赵嘉恒(id=1169) | 赵毅劼(id=713) | 李子涵(id=1018) | 周宇杰(id=1625) | 巴文豪(id=2648) | 元佳辰(id=965) | 刘牧(id=312) | 车鸣笛(id=962) | 邱俊阳(id=3179) | 李梓溪(id=219)
